sample,lane,read,file,condition
20AR06841_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L001_R1_001.fastq.gz,healthy
20AR06841_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L001_R2_001.fastq.gz,healthy
20AR06841_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L002_R1_001.fastq.gz,healthy
20AR06841_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L002_R2_001.fastq.gz,healthy
20AR06841_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L003_R1_001.fastq.gz,healthy
20AR06841_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L003_R2_001.fastq.gz,healthy
20AR06841_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L004_R1_001.fastq.gz,healthy
20AR06841_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20AR06841/20AR06841_S2_L004_R2_001.fastq.gz,healthy
20BH06185_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R1_001.fastq.gz,healthy
20BH06185_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R2_001.fastq.gz,healthy
20BH06185_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R1_001.fastq.gz,healthy
20BH06185_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R2_001.fastq.gz,healthy
20BH06185_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R1_001.fastq.gz,healthy
20BH06185_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R2_001.fastq.gz,healthy
20BH06185_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R1_001.fastq.gz,healthy
20BH06185_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20BH06185/20BH06185_S4_L001_R2_001.fastq.gz,healthy
20FE05656_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L001_R1_001.fastq.gz,healthy
20FE05656_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L001_R2_001.fastq.gz,healthy
20FE05656_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L002_R1_001.fastq.gz,healthy
20FE05656_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L002_R2_001.fastq.gz,healthy
20FE05656_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L003_R1_001.fastq.gz,healthy
20FE05656_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L003_R2_001.fastq.gz,healthy
20FE05656_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L004_R1_001.fastq.gz,healthy
20FE05656_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20FE05656/20FE05656_S18_L004_R2_001.fastq.gz,healthy
20HR07435_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L001_R1_001.fastq.gz,healthy
20HR07435_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L001_R2_001.fastq.gz,healthy
20HR07435_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L002_R1_001.fastq.gz,healthy
20HR07435_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L002_R2_001.fastq.gz,healthy
20HR07435_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L003_R1_001.fastq.gz,healthy
20HR07435_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L003_R2_001.fastq.gz,healthy
20HR07435_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L004_R1_001.fastq.gz,healthy
20HR07435_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20HR07435/20HR07435_S32_L004_R2_001.fastq.gz,healthy
20OX07630_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L001_R1_001.fastq.gz,healthy
20OX07630_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L001_R2_001.fastq.gz,healthy
20OX07630_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L002_R1_001.fastq.gz,healthy
20OX07630_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L002_R2_001.fastq.gz,healthy
20OX07630_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L003_R1_001.fastq.gz,healthy
20OX07630_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L003_R2_001.fastq.gz,healthy
20OX07630_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L004_R1_001.fastq.gz,healthy
20OX07630_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L004_R2_001.fastq.gz,healthy
20PG07688_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R1_001.fastq.gz,healthy
20PG07688_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R2_001.fastq.gz,healthy
20PG07688_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R1_001.fastq.gz,healthy
20PG07688_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R2_001.fastq.gz,healthy
